clean_review,label
"went for team lunch. have been here in the past too but experience this time was not at all good. food was not good especially the ones that were refilled. it appeared as if chef changed in between. breads were too dense, desserts too sweet, chicken overcooked. most disappointing was the service which is not at all expected from a brand like hyatt. very slow service with a i don't care attitude. had to wait very long for some of the requests. the only good thing was probably the decor. and no one will come back only for that.",0
good place to spend time with friends and colleagues.. dj is great.. and loved the bar structure..service was quick and staff were quite interactive. would like to appreciate anmol the bar staff.,2
i have ordered willy wonka for home delivery.. it became over frozen by the time i received the same.. i did a complain and very next day cream stone sent another ice cream for free.. keep up ur good service,2
i have been to this place about 6 7 times. i absolutely love this place.. all dishes are awesome...jade chicken soup is a must try. staff is very courteous and knowledgable. they will advise you on the quantity correctly. waiting time is also apt. ambience is also very nice.. prices are a bit on the higher side although it justifies with its quality,2
"extremely poor service and the staff denied the gold benefits on the table. overall not a recommended place at all, unless one wants to enjoy the location. summary - location - 100 . food - 75 . service - 30 . gold membership- 0",0
deluvery pwrson hv no idea about route..,0
la la land...... a place with great ambience....... ambience one of the best places with great ambience in the city. the place is dim lighted but not too dark. it's the perfect place to hang out in the evening for a drink. food the place will serve you with a good buffet. a series of starters and main courses and desserts are just awesome here. just make sure you are not late as the buffet strictly closes at 3 00 pm. hospitality the staff is well trained to manage the crowd and at making you feel good.,1
"worst experience with faasos. they accept orders, take money and then they don't deliver food. it's happening continuously with faasos managed restaurants. had a similar experience with their ovenstory pizza as well. till now, my money of ovenstory pizza order is not refunded. i think my money for faasos order is also gone.",0
this time pizzas were not tasteful,1
"a buffet with a nice spread and value for money pricing is always in demand. the spices unlimited buffet at cascade, the all-day dining restaurant at radisson hitech city is an example of this. the newly revamped menu of this buffet, on for both lunch and dinner, ensures that everyone has something suiting his palate. quite a number of live counters make this even more interesting. the buffet is priced at an attractive rs 1255 all taxes included . invited for a review of the buffet, i first did a recce of the items served. i was happy to note that huge spread had something for everybody. there were dishes from different cuisines, ranging from north indian, south indian, local hyderabadi, pan-asian to continental. live counters included those for dosa, ice creams as well as pasta and pizza. the dessert counter looked pretty extensive too. among the starters was paniyaram, the round batter balls popular as a breakfast or snacks. this was served with three types of chutneys coconut, mint and tomato. i usually do not try veg starters but this was soft and good and the chutneys were delicious. other vegetarian starters included potli samosa, kothmir vada, and assorted vegetables in chilli sauce. veg sushis were also on display, but i did not try it. chicken quesadilas filled with a nice stuffing and grilled was one attractive dish in the non-veg section. fish tikka was a little bit too spicy for me. chicken nuggets, pepper fish and shanghai chicken dry were the other non-vegetarian appetizers. the pizzas for the day included a simple margarita as well as chicken pizza.i tried a couple of dosas from the live counter my choice was the kheema dosa though the beetroot dosa was a novelty too for its looks, like the coloured burgers which are in vogue these days. the buffet also had an extensive salad bar with highlights such as braised chicken mushroom salad and roasted lamb with onion cabbage. over to the main courses. continental cuisine seems to be a strong point of the chef team. the vegetarian main courses included balsamic grilled vegetables, a dish which had babycorn, carrots and beans in a balsamic vinegar based sauce. the sweet and sour vegetable caponata was another dish of note. lamb ossobuco, an italian main course of lamb shanks with a dark gravy was one dish that was really good. poached fish in a watery gravy did not have much of taste, the same applies for the roasted potatoes. the chinese part of the buffet had quite a good collection too. fish thai red curry went well with szechuan noodles. there was a vegetarian dish mushroom bamboo shoot in scallion sauce which also attracted my attention. the indian section had biryanis, both veg and non-veg which are must for any hyderabadi buffet. the other local dish was hyderabadi fish curry. from the andhra kitchen, kodi koora and ulavacharu made their mark. maa ki dal and matar paneer were the punjabi dishes served. i am not much of a dessert person, but was happy to see a large number of desserts in the buffet. sweets included shrikhand, rasmadhuri and hot chocolate brownie with ice cream. overall, i will not call it extraordinary stuff, but it was a nice spread and a value-for-money buffet. the lunch buffet which i attended on a weekday had a huge rush, pointing to the popularity of the restaurant. the menu changes every day so that the regular clientele is provided with a change of taste. visit my food chronicles at",2
"excellent food with beautiful ambiance. also, the service provided is good. a must visit place for every foodie.. had a great time visitinh this place",2
very good experience today...we were very satisfied with the service and food..ali and shantanu were very good.. will visit again..keep it up ...love abs...thanx ........,2
went there for dinner. tried chicken mandi and double ka meetha. quantity of mandi was good for two. double ka meetha was average. ambience and service was ok but could have given 4 stars if the ac could have been a little high and service a little fast. i also feel they should also take care of the taste of dishes as there are so many good competitors around. atoneplaceonline.com,1
"one of the worst restaurants in hyderabad. very bad service and they didn t have most of the things that they specified on their menu card. took friend for lunch there thinking to have good time, but was one of the worst times.",0
too spicy parathas ... though they were good but they can make it less spicier.. it would be better,1
the donuts were fresh and tasty. however these donuts were little small in size compared to donuts served in other outlets. the ambience was good but needs a little maintenance like the tables were not clean and there were flies around. overall it was good.,2
"i never had a good momos until before i ordered from here. always thght momos were over-rated. but momos delight proved me wrong. i ordered veg- kurkure momos through zomato and they were lip-smacking good. the red-chilli chutney and mayonnaise were good combination with the momos. also, they were delivered to me when they are still hot. zomato s service has never been disappointing.",1
"this was the first time i ordered from tempteys looking at the reviews and their descriptions of food preparation. i ordered choco brownie shake with choco chips as extra toppings, but it was average in taste, not that good what i expected. so for me my first experience was average for the taste of the shake.",1
"frio bistro is located in gacchibowli, below the tilt. i went here with a couple of friends. i had ordered belly dance pizza and ravioli. the pizza was damn good. nice crisp crust and the toppings were perfect. but coming to the ravioli, i was very disappointed. it had way too much pepper in it. and the taste of the sauce wasn t satisfactory either. service 4 5 ambience 4 5 pizza 5 5 ravioli 3 5 overall 3.5 5",1
we went during lunch time. it's a good place. drinks are nice. they have offers for lunch too. the seating is nice. booking a table is better when going for lunch because it's crowded usually,2
"i went in for a late night dinner after work. i was happy with the service provided. best part about this place is their interior. the antique royal doors, old locks and vintage pictures hanging on the wall and ceiling added to the charm. quality and quantity is almost worth the price. the ambiance is perfect for a peaceful sumptuous meal. i would definitely suggest this place.",2
i have order pannier 65 with egg fried rice and one extra egg m paid for those but i'm recived only pannier 65 with egg fried rice not recived egg but i'm get bill from restarent include with extra egg,1
ordered chicken tikka kebab and chicken butter masala.packaging was nice.but taste was not great.okayish.butter masala was more sweet than spicy.pocket friendly but definitely can be better.,1
good food,2
in time,1
i have not received my pepsi can,1
this tempteys is just near dlf building i drank choco brownie its yum to drink its orea n brownie mixture and its around 189rs.my friend drank mango shake its having essence taste rather than mango taste and it is around 145rs.i expected mangoes but no mangoes are their in that shake and its little disappointing.they write some note on the sticky notes and stick it to the wall.the ambience is good and enough space for parking too.,1
"for vegetarians, i feel place is definitely overrated. not much options available. taste is kind of ok, not great definitely. price don't go well with the food. i doubt zomato ratings seriously.",0
"overrated restaurant with pathetic service and average food. spent 2.5 hours just for starters and main course. had 2 rounds of rotis before paneer sabzi arrived. after asking manager that we have ordered main course more than half hour back, he told that you have ordered only 5 mins back. after this episode also it came after half an hour more. visit the place if you have free time and want air condition. nothing else you can expect.",1
"starters are very good ...on the whole it was delicious and sumptuous buffet... service is really good, especially from one mr.jayanta. hasubul",2
"this used to be a good place, the service level now is pathetic. they won t even offer you the menu unless you ask for it, if a dish is served in a bad state it will take ages for you to give the feedback and by the time it is changed your meal would be over and the check ofcourse will take atleast 15 mins to get to you...so plan wisely at lol lol land",1
"place was a complete let down. was there for lunch on sunday and was disappointed. the veg stack in the western section was actually a spicy paneer which was basically spicy filling between 2 slices of paneer and topped with a chilli sauce. 2 dishes took 40 mins to come while 1 was served in 12 mins. staff were lost and seemed to be recovering from a late night on saturday. the only saving grace were the drinks. so unless you want to go and just have a drink and then more drinks, skip the place.",0
"frio! like unique name like unique place. frio is one awesome place. whats really nice is now a days you see these black interiors that's really catching the trend and not they have done it real good. food is amazing, they have baked pizzas that's really tasty and cool, their cooler drinks are tasty, snackers lip smacking. we were 6 of us and this person there, sachin, was really nice and on spot. served us right, made sure our food experience was smooth, kept asking us feedback of the food. it's a lovely place. must go. thank-you frio!",2
ordered noodles and fried rice box. almost no gravy with very little pieces of paneer manchurian. noodles felt to have gone bad when opened. mostly felt like last nights food. would not recommend.,0
"at gachibowli we have a new rooftop dining place which captures the astonishing view of hyderabad s new side overlooking the mighty ikea. we dined at pourhouse7 where they house a club too at the floor below the rooftop. . it was drop dead gorgeous view from there and the weather was cold with chill winds so we had to put our jackets back on. but on a regular evening, the place would be warm. they have been serving us some nice cocktails and some punchy mocktails like chatpata masala. . the starters were not that great and needs much improvement. they had chicken manchow soup, and coriander soup which were really bleak and the place won t be expecting much orders on them as it s a bar. the hyderabadi tawa fish was exceptionally great and turned out to be my favourite of the night. in the vegetarian department i ll recommend tandoori broccoli . . further to the main course the tangadi kebab was perfectly cooked juicy chicken legs. the masalas of cashew nut chicken and chicken tikka were soo tasty. they were an amazing combination with the rotis. the place has improve a lot on a handful of starters and rest will be taken care of. . food-3 5 ambience -4.5 5 service-3 5 value for money-3 5",2
on time delivery,1
"disappointed went for dinner with friends. was bit disappointed with the service and food. firstly due to lack of space they have clubbed urban asia nd eat india on the same floor. which make service bit slow and confused. we opted for buffet, here also they served fusion of both the restaurant. for example they served chicken sorba for non-veg and khaw-souy for veg. it's simply confusing and making ur dinning experience not that great.",1
delivery on time but food was not hot,1
not received any order from your restaurant,1
the food was okay. the ambience was good but the waiter's behavior was not good. a zomato guy came to receive an order he asked for a glass of water and they denied him and told him to wait outside.,1
dont deliver from here. cheesecake came as little almost the half of usual size of the one you get when dined. and they dont cook properly and use good ingredients for online orders. very disappointed. not worth the money at all,0
kinda of disappointed with the food. everything is either drenched in oil or tastes old. ambience is quiet. butter garlic prawn is good though dishes tried butter garlic prawn roasted lamb crab on toast,1
"a complete and absolute disaster. the place where we sat was dirty. there were cracks on the walls. we ordered the food to be less spicy but i guess they cook how they want to cook. the ac was non-existent. it felt like we were sitting in a tandoor. the service was pretty slow. if you bring food you bring the starters together and then you don't put a gap in between the starters and the main course. the taste was appalling, sub-par service, being in one of the prime locations. i have ordered a lot of times from kritunga madhapur and that one is very good. i think kritunga gachibowli has a long way to go before it becomes worth the money. wish them the best",1
i didn't like the food at all !! we ordered thin crust pizza quatro formagio and it was not thin crust at all with very bland taste on top of that . then we had the tuna salad which was too bitter to eat . couldn't even finish it ! then we went for a very cheese pannini . another dish we couldn't finish . the bread was too thick to eat ! overall huge disappointment for me !,0
"i ordered a chicken biryani in this restaurant and with full excitement i opened the box. i got only biryani in the box but i didn't get chicken piece in the biryani, worst service.",0
ordered because i wanted to eat momos so much and dlf area is popular for street food but i am disappointed! the momos were undercooked and dry. had ordered two veg steamed momos and i felt sad because it neither fulfilled my cravings nor it filled my tummy. the closings were hard and uneatable.,0
the place is good. jonathan's kitchen restaurant is attached with that. you can have dinner over there. bad thing- services are very slow. you will feel like you are in restaurant not in the bar. the music is also not good according to the environment.,1
he came at right time and place.,1
excellent food and excellent behaviour of servers govind acha sever and his communication is good and he know very well about customers how to treat,2
worst service and management! waiters will not attend you and all you have to do is wait even to get menu card. manager's behaviour is totally rude.,0
"the ambience is excellent , the food not so much , we ordered a half n half pizza , margarita bbq chicken , the pizza was not up to the mark , now for the second dish we had ordered was alfredo chicken pasta , the pasta sauce was very liquidish , chicken was undercooked. i am have visited this restaurant before it was an awesome experience , we used zomato good during this visit of ours , not sure if this has anything to do with the food taste , there were 2 pizza slices left the the restaurant said they will not pack the leftover food as they said it was orders rules from zomato , they said they would rather throw the left over in the dustbin but not give it to the customer , this is very strange rules , zomato relook at your guidelines",1
"we went here for 31st 2018 evening after reserving table for 3. they told us there will be 500 entry charge per person but that wont be a coupon inside to get anything. so it was 1500 for us 3 and food drinks charges being seperate. we saw the menu rates online and felt it to be fine. when we went there, for entry as they told 1500 we had to pay and that too they said they will only take cash 1500. cards will be accepted inside but not accepted to take it for entry fee. we always keep cards mostly, luckily we had that much cash, paid and went inside. got a table for 4 for us 3. so like first mistake of staff when ordered a mojito- mocktail as i dont drink, and they instead of mocktail send a cocktail - alcoholic drink. second mistake of staff, as we are purely vegetarians- in beginning itself we mentioned that and ordered a paneer starter and some crispy potato starter. and they came and served non veg starter. after complaining about this both to staff, they apologised and said it won't repeat. now when we repeated our starter and ordered crispy potato again, again for the 3rd time they sent incorrect order and a non veg starter again to us. i complained to manager and he said sorry and staff said sorry but they didnt even had courtesy to make it up to their 3 huge mistakes back to back by any discounts which they could do least. not that i asked for any but that was courtesy on their side. so when all this wrong orders were going on in between of that we were asked to adjust on the seat of 2 and they made other people sit on our table across us even after reserving table and paying for it. ok and the last thing, the dj mostly 70 of time was playing very old songs which i again didn't enjoy. oh yes and forgot to mention that they had increased prices on drinks and all food and had a whole seperate new menu for 31st december 2018 with increased prices.",0
worst place to have a sizzler. tried hyderabadi sizzler which was just rotten chicken biriyani on a hot plate. the noodles in the veg sizzler were very bad as well. these guys dont know how to make a sizzler. the staff was also not well trained.,0
butter milk not delivered,1
horrible place nothing for vegetarians service is awful paneer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters the main course for vegetarian dishes was empty,0
great food loved the food 5 star for chef narbu just tooooooo gooood fooooood dil bhi bhar gaya pet bhi bhar gaya thumps up for all the theam work thanks,2
very spicy and not so tasty,1
"i would like to introduce this restaurant to a new ingredient called salt. if you add that yo your food, it would taste way better. so basically none of the food we ordered had salt. we ordered fries, panko mozzarella sticks, tomato cream soup, panner65 italian nachos. not sure how that was nachos or italian. they basically bought a pack of dorittos and added mozarella cheese on top. the beans were not baked at all, and the entire dish was cold except for the plate that it was brought in. pretty sure they just dumped the items and stashed it inside a microwave. the paneer 65 was horrendous. might as well called it garlic 65 with no salt. next was the mozarella sticks, which was again cold and no salt. the only decent item that we got was the fries and the soup. thanks to gid we didnt order any main course. all these came up to 1300 and odd. thanks to zomato gold, our price went down. this place is way too expensive for the quality of food they serve. and talking about the restaurant in general, the place looks decent but there are stoves stashed under tables and seats and plants kept at inconvenient spots. they really need to clean up more.",1
ate ma first donuts here they we're just amazing the ambience is so good a perfect evening treat after a tiring shopping spar mango craze alive by choco are my favorite,2
"reservation confirmed for 11pm, shows open till 11 30pm , denied dining on arrival without prior intimation saying kitchen closed by 10 30 pm and that they are not on zomato.",0
"wonderful ambiance one of the must go places in hyderabad...., good food.... however reduced one star coz they have stopped their brewery and serving draught beer...",2
average place with average food and ambience. they claim to be a punjabi restaurant but not really punjabi at core. the food is just ok with okayish ambience.,1
"pathetic food, slow service, extremely spicy food. went there for a team lunch and it was the most disappointing food i ever had. even the fruits were stale.",0
this place is simply amazing with authentic telugu menu and the food presentation. lovely ambience and equally tasty food . there is a complimentary jalebi and at the end masala pan which is a very nice gesture . overall a very good experience,2
very high priced low quality food,0
the food was good every time but not this time. the chicken in the fried rice didn't cooked completely. it was very raw. and the chicken coriander lemon soup seemed costly and not worthy for price.,0
"during our stay at radisson, we had our breakfast here and it was very good experience compared to its peers in the area. breakfast review - a typical buffet everyday seems very wide spread with options for everyone. there are about 10 indian options like idlis, wada, dosas to order, pav bhaji, puris, parathas to order, upma, poha etc. i couldn t try everything, but the paneer paratha was very good and i totally recommend. the bakery counter has multiple selections too that comprises of different bread rolls, basic breads, butter filled croissants, choices of donuts excellent , cupcakes etc.! they also have several selections of beverages hot and cold and soy drinks too , vegan options on request, variants of muesli and cereals, choice of cheese, salads, fruits, etc. they have western cold cuts etc. and asian noodles and rice alternatives too! pros widespread buffet, most of the spread is very good in taste, helpful staff, comfortable seating. suggestion - would be nice if the staff smiles and makes it more welcoming. recommended buffets! touryard.com",2
goos delivery,1
the food and the ambience is good special thanks to the service they are good. it is recommended for the people who like to have food peace and spicy,2
it is very poor,0
"the maggie masala is put alot in the maggie, could you please make good maggie rather than making it very spicy ? the masala makes it too spicy and tastes raw. please improve on the taste. thank you for the speedy delivery.",1
"one of the best brunches.. people with a sweet tooth.. you should go food - 6 7 ambiance - 5 7 service - 3 7 feast is one of the biggest spreads i saw in a buffet.. it has continental, chinese and indian cuisine and chats with a huge variety.. the ambiance is decent.. but probably it could be improved.. i would like first start with the desserts section.. there are many.. the very sight can be deadly to a diabetic patient.. perfect place for ppl with a sweet tooth.. a big selection of pastries, cheese cakes along with many indian specialties.. there was chicken, fish and mutton for starters.. i couldn't see prawns.. chicken popcorn was so crispy on the outside and the chicken soft in the inside.. the best starter of all.. the other starters are okeyish.. in the main course, chciekn biryani and lal maas were the best.. overall a very good experience.. the on- table service was slow.. the only thing i hope could have been a lot better..",2
it should be coocked well,1
"i ordered mini veg pizza, manchuria, veg hot dog , veg pizza bun... machuria was good but it wasnt hot they just gave what was kept there, veg pizza was kind of nice but it has to be more crispy, veg pizza bun and filling inside was smelling worst as if its life span is over, veg hot dog was bad it was having same filling as bun... it was totally a bad experience and over that the a.c was not at all working.... please improve the quality",0
i have been on friday night and reached at round 10pm. it was almost full we hardly get space for standing. they occupied huge space and designed interior amazingly which definitely deserve a cover charge as its into business but one thing which nowhere make sense to taking 500 bucks for just entry out of 2k when every items price also decent to take your business ahead. we could not order any snacks except one as we had to carry on hand and could spoil our party mood. i must say either they should revoke their concept of charging for entry or should be take responsibility to offer seats atleast when you are visiting as couple or in group. dj was playing good track and it was enjoyable moment we spent. zomato is showing 1200 for two ppl which is really surprising even though you cant step down to this place until unless spend 2k bucks so be aware and keep your pocket tight as this place is not for normal class people .,1
bill not given by the restaurant,1
one piece missing,0
interior is good but small one and quality of ice cream also good but some of the items like chocolate u can't eat alone bcz of it sweetness,2
"worst service, this delivery man can't speak even a single language properly - english or hindi. even after i gave him 20 - tips he didn't tried to find the address, has no idea about the location.",0
i had gone to this place and ordered nutty overload icecream and chocolate icecream with waffles. the nutty overload icecream was really good.,1
the tea was just half cup!!!! for 55 rs half cup tea!! u r looting people here. will never order from here again. ginger tea doesn't taste like ginger its just sugarcane juice and that too when we asked for less sugar,0
"hi ordered veg biryani , family pack quantity is good but taste is worst not at all good and no taste , i look like colored rice without any flavor. pls not prefer",0
"being rated well on zomato, i had expected it to be impressive, but the ambiance was just mediocre, food was again average.. didn't find anything special about it. also, there are not really much options on the menu.",1
worst service. strictly nor recommended for family and decent people. taste is below average. big no for this place.. stay away. worst service ever,0
"great hospitality , good ambience , a nice place to spend an evening. taste of food can be improved though. overall it was a good experience and reached expectations.",2
"great food as always. i have ordered multiple times with favs including rajma chawal, kadi chawal, masala raita mostly received in bottle aloo kulcha. bilkul ghar jaisa taste with optimum spices and quantity. uploading some pics and will upload more",2
worst food,0
"went with team for lunch over there...first proper parking is not there....resto is quiet small with very limited options in veg and non veg.... ambience, starters, veg non veg main course everything is just avg... everything is just dull and avg...i mean neither food is spicy or tasty ...it just avg and dull...",0
offers are not good,0
really very disappointed with quantity of chicken in the biryani,0
a very cosy outlet for some delicious chinese indulgence in the city of hyderabad. the place is ideal for fulfilling the cravings for delicious chinese food.,2
too tasty it is,1
the best restaurant to taste grill chicken and combination of butter nan and chicken butter masala goes crazy.everyone must try these combinations .,2
fsuperb,1
i have ordered egg biryani from this restaurant. taste wise not that much superb.but quantity wise it was more. i will give 3 5 for taste. but online order came very early. i can appreciate for restaurant fast service.,1
i visited with my friends for dinner . it was a fake experience. becos the sttaf behavior was like unprofession n rude .they don't know how to speak with the customer. no sense no manners nothing.,0
"the food was good, the environment is pleasant to freak out. after long time i played my favourite game teklen7. thanks to bdubs a nice place",2
this place has lost its charm went for dinner today. ordered honey crispy chicken and butter garlic prawns. they served honey crispy chicken was waiting for butter garlic prawns. after 40 minutes the person comes and asks for main course order. i asked for butter garlic prawns he comes back after 5 minutes and says it s not available. pathetic service they take almost an hour to tell you if a order is available or not. better avoid it if these are the standards of this place wasting customers time,1
"pathetic experience i have had in recent times. arrived for buffet at 2pm i. saturday afternoon. the food was cold as ice, no starters at the food table and support staff least bothered about checking on food and customers. the only thing that was severed as per it's level was the welcome drink and unsatisfied food experience. until raising voice at the restaurant and threarting them on not paying the is when they got the attention and realized that shit food was cold. later is when they got the hot food which no variety and disappointed good experience. will not prefer anyone to visit this place and was a disappointing experience for a office team lunch and regret choosing this place as option. really disappointed",0
had a very bad experience here beyond flavours really puts you beyond all the flavours had gone here for dinner and the next day had to get hospitalised because of food infection i guess the food was not served fresh,0
very nice mandi. all mandi r best but service for briyani section is not good. quantity for the price is best pieces in mandi r best. go with friend to eat mandi,1
"i have ordered kachori chana chaat for home delivery from zomato. i was expecting a quality food as this was not my first order from eat.fit previously ordered food quality being good . as soon as i opened the box bad smell was coming, then realised it was from the chana chaat and not kachori's. the chana chaat has gone bad and was not fresh due to which kachori's were also smelling bad. i had to throw away everything. i don't think i can order again with trust on their food quality.",0
"it was supposed to be nellore fish pulusu. what i got delivered tasted only like fish and warm water. no salt, no spices, no chillies. just some pieces of fish and put into coloured warm water. worst fish curry i had ever.",0
the food was not good as expected. the service could have been better. please concentrate on taste . this place is not for lunch better try for dinner,1
food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude. over all rating 2,0
tonight we visited bdubs gachibowli... they have amazing gaming devices that was really really fun .... the food and service was awesome... thanks for helping anilpatel ....i love bdubs wings and has become a regular hangout joint for us.v,2
the food was good. lots of option in non veg ... highlight were the chaat items and pasta... service was good too... though veg options can be more .. also due to the heat it gets a little suffocating bcos of the heat from the grill....,2
awesome,2
i am new to hyderabad.. heard of the hyderabadi haleem here is very famous so ordered haleem from this restaurant. it was a disastrous experience. please dont try any kind of haleem here. i haven't tried any other dish here and now i am hesitant to order any other dish from here after having haleem here.,0
"i was there on saturday night and they had a band performance as well. it was nice music, they were performing playing bollywood and sufi tracks. we seated outside because of band.overall it is pocket friendly as well if you are a beer lover.",2
awesome food . been here couple of times and always satisfied with the food. food - 4 5 ambience - 4 5 service - 4 5 open 24 7 and friendly staff.,2
"we had ordered from amul and we will order again. we were looking for a late night binge and found amul on zomato. we ordered some choco chips 5 5 and alphonso mango 5 5 ice cream and loved them. only thing is, the ice creams although provided with dry ice had started melting which wasn't desirable. i wish amul can improve their packaging so that ice cream reaches intact.",2
"the place and ambience was good.only sour point was our waiter kundan who told us to change places as soon as we were seated maybe to accommodate his regular guests who tip him well .i had zomato gold membership and showed him the same.instead of taking a photo of the same,he started surfing the phone. when i objected,he denied checking the phone. though the food and place was good,the waiter spoiled the mood just with his creepy attitude, which cost the two stars.",1
"ordered gadwal kodi pulav, it had no salt. no resolution on it even after complaining that it had no salt. the quantities served are very less, so everyone who think one pulav will serve two, to need to order one for each.",0
waste of my money,0
"pocket friendly, sumptuous and decent quality. this place is my goto for late night deliveries. their kaju biryani is a personal favorite. well flavoured rice with a generous helping of cashews fried in butter, this one is comfort at its best. their other options are good too and the helping is perfect for two.",1
"pathetic service, stale food especially mutton , starters are not well cooked either, grilled chicken and chicken biryani were somewhat edible compared to rest of the menu.",0
"though i had very less variety of food here, i am quite impressed with their quality and taste. really appreciate the ambience, pretty clean place. their speciality is breads, try their bread for sure. garlic bread is awesome here. very detailed menu and professional to core, they stick to basics and don't try to satisfy every cuisine.",2
"genrally i don't eat ice creams, but have tried today brownie blast ice cream which was very good in taste. you will find varities of ice creams . its very much pocket friendly . the delivery was also on time, since i ordered online.",2
"strong recommendation- never ever order from here - it was the worst experience i had attempted by ordering from here. i order special chicken shwarma. the chicken was spoiled and smelling badly, and by having one bite i thrown to garbage bin.",0
"we had a family dinner at zing s with very high expectations considering the ratings. we ordered the following moroccan eggs - 4 5 chicken satay - 2.5 5 drums of heaven - 3.5 5 noodles - 0 5 they were like instant noodles with no tastemaker fried rice with omelette - 2 5 nothing much pork bimbipop- 3 5 the only decent thing in the main course. all in all, it s not worth the price. we really wanted to like it but were really disappointed.",0
